date,daily_open,daily_high,daily_low,daily_close,daily_volume,last_refreshed,Output Size,Time Zone,Description,symbol
2024-12-16,371.7,375.1994,371.3,373.1,12702934,2024-12-16,Full size,US/Eastern,"Daily Prices (open, high, low, close) and Volumes",TSCO.LON
2024-12-13,370.5,372.0,369.7,372.0,8880496,2024-12-16,Full size,US/Eastern,"Daily Prices (open, high, low, close) and Volumes",TSCO.LON
2024-12-12,369.7,371.8,366.8,370.6,9255863,2024-12-16,Full size,US/Eastern,"Daily Prices (open, high, low, close) and Volumes",TSCO.LON
2024-12-11,366.9,371.8,366.8,370.2,31375391,2024-12-16,Full size,US/Eastern,"Daily Prices (open, high, low, close) and Volumes",TSCO.LON
2024-12-10,365.6,370.3,365.4,368.6,25395230,2024-12-16,Full size,US/Eastern,"Daily Prices (open, high, low, close) and Volumes",TSCO.LON
2024-12-09,367.2,368.4,363.9,364.8,7971825,2024-12-16,Full size,US/Eastern,"Daily Prices (open, high, low, close) and Volumes",TSCO.LON
2024-12-06,374.2,374.7,366.9,366.9,37731391,2024-12-16,Full size,US/Eastern,"Daily Prices (open, high, low, close) and Volumes",TSCO.LON
2024-12-05,375.3,375.3,371.6,374.5,21116189,2024-12-16,Full size,US/Eastern,"Daily Prices (open, high, low, close) and Volumes",TSCO.LON
2024-12-04,371.6,374.9,371.6,373.0,33294129,2024-12-16,Full size,US/Eastern,"Daily Prices (open, high, low, close) and Volumes",TSCO.LON
2024-12-03,366.7,371.8,366.7,371.1,9721258,2024-12-16,Full size,US/Eastern,"Daily Prices (open, high, low, close) and Volumes",TSCO.LON
2024-12-02,367.1,369.2,364.5,366.7,10480180,2024-12-16,Full size,US/Eastern,"Daily Prices (open, high, low, close) and Volumes",TSCO.LON
2024-11-29,365.0,367.3,363.2,366.4,14636670,2024-12-16,Full size,US/Eastern,"Daily Prices (open, high, low, close) and Volumes",TSCO.LON
2024-11-28,364.2,367.7,361.4,366.2,13745070,2024-12-16,Full size,US/Eastern,"Daily Prices (open, high, low, close) and Volumes",TSCO.LON
