date,last_refreshed,daily_open,daily_high,daily_low,daily_close,daily_volume,description,symbol,5_day_moving_avg
2024-11-15,2024-11-15,341.0,346.2,340.4,345.7,15563751,Daily Prices,TSCO.LON,
2024-11-14,2024-11-15,342.0,344.4,340.8,341.9,21563490,Daily Prices,TSCO.LON,
2024-11-13,2024-11-15,341.5,342.5,338.2,340.2,23249510,Daily Prices,TSCO.LON,
2024-11-12,2024-11-15,341.4,342.1,339.9,341.8,24920330,Daily Prices,TSCO.LON,
2024-11-11,2024-11-15,345.6,347.3,342.8,343.9,17436920,Daily Prices,TSCO.LON,342.7
2024-11-08,2024-11-15,347.6,348.6,337.9,345.2,28039240,Daily Prices,TSCO.LON,342.6
2024-11-07,2024-11-15,357.2,358.5,348.5,348.5,19339900,Daily Prices,TSCO.LON,343.9
2024-11-06,2024-11-15,357.6,361.3,355.2,357.3,49713281,Daily Prices,TSCO.LON,347.3
2024-11-05,2024-11-15,350.9,353.9,350.336,353.9,18007990,Daily Prices,TSCO.LON,349.8
2024-11-04,2024-11-15,347.6,353.9,347.4,351.8,52229367,Daily Prices,TSCO.LON,351.3
2024-11-01,2024-11-15,343.4,349.5,343.0,348.0,25485369,Daily Prices,TSCO.LON,351.9
2024-10-31,2024-11-15,345.3,346.2,337.7,342.2,39121059,Daily Prices,TSCO.LON,350.6
2024-10-30,2024-11-15,345.8,352.5,345.6,347.4,18927789,Daily Prices,TSCO.LON,348.7
2024-10-29,2024-11-15,355.5,356.4,345.9,348.2,21246580,Daily Prices,TSCO.LON,347.5
2024-10-28,2024-11-15,353.7,356.1,351.712,353.6,16059050,Daily Prices,TSCO.LON,347.9
2024-10-25,2024-11-15,356.1,357.4,351.872,352.8,14308960,Daily Prices,TSCO.LON,348.8
2024-10-24,2024-11-15,354.9,357.1,353.4,356.6,12213550,Daily Prices,TSCO.LON,351.7
2024-10-23,2024-11-15,356.1,359.5,353.3,353.6,61376031,Daily Prices,TSCO.LON,353.0
2024-10-22,2024-11-15,356.1,356.7,352.5,356.1,15686160,Daily Prices,TSCO.LON,354.5
2024-10-21,2024-11-15,360.8,361.8,357.2,357.2,12405940,Daily Prices,TSCO.LON,355.3
2024-10-18,2024-11-15,360.3,361.8,357.3478,361.8,56589312,Daily Prices,TSCO.LON,357.1
2024-10-17,2024-11-15,355.1,363.3,354.7,362.1,20336250,Daily Prices,TSCO.LON,358.2
2024-10-16,2024-11-15,358.1,359.1,353.9,355.1,18295240,Daily Prices,TSCO.LON,358.5
2024-10-15,2024-11-15,357.6,358.7,353.7,356.6,23149689,Daily Prices,TSCO.LON,358.6
2024-10-14,2024-11-15,356.5,357.7,354.524,356.5,14242810,Daily Prices,TSCO.LON,358.4
2024-10-11,2024-11-15,359.0,359.5,353.1,357.2,10673790,Daily Prices,TSCO.LON,357.5
2024-10-10,2024-11-15,359.4,361.9,357.464,359.4,10334440,Daily Prices,TSCO.LON,357.0
2024-10-09,2024-11-15,360.6,364.9,359.9,364.3,10353190,Daily Prices,TSCO.LON,358.8
2024-10-08,2024-11-15,360.8,363.064,360.0,360.4,8353685,Daily Prices,TSCO.LON,359.6
2024-10-07,2024-11-15,363.9,364.1,356.7,359.8,12687750,Daily Prices,TSCO.LON,360.2
2024-10-04,2024-11-15,365.7,367.2,359.0,362.2,13984090,Daily Prices,TSCO.LON,361.2
2024-10-03,2024-11-15,358.0,368.4,352.8,364.0,31548160,Daily Prices,TSCO.LON,362.1
2024-10-02,2024-11-15,358.4,359.3191,354.3,354.9,20892850,Daily Prices,TSCO.LON,360.3
2024-10-01,2024-11-15,358.6,362.6,357.4,359.5,40344180,Daily Prices,TSCO.LON,360.1
2024-09-30,2024-11-15,359.6,361.7,358.3,358.7,22084270,Daily Prices,TSCO.LON,359.9
2024-09-27,2024-11-15,357.0,362.7,357.0,360.7,14541240,Daily Prices,TSCO.LON,359.6
2024-09-26,2024-11-15,367.0,367.2,357.464,358.5,14945980,Daily Prices,TSCO.LON,358.5
2024-09-25,2024-11-15,363.6,366.3,363.1,365.9,14533380,Daily Prices,TSCO.LON,360.7
2024-09-24,2024-11-15,363.9,366.199,362.1,364.3,15278220,Daily Prices,TSCO.LON,361.6
2024-09-23,2024-11-15,364.5,366.5,362.9,365.9,14303230,Daily Prices,TSCO.LON,363.1
2024-09-20,2024-11-15,364.2,367.7,362.6,363.4,38186910,Daily Prices,TSCO.LON,363.6
2024-09-19,2024-11-15,371.3,372.037,363.4,365.5,15530560,Daily Prices,TSCO.LON,365.0
2024-09-18,2024-11-15,369.8,370.7,367.2,368.4,20371240,Daily Prices,TSCO.LON,365.5
2024-09-17,2024-11-15,372.2,373.9,369.2,369.2,16521359,Daily Prices,TSCO.LON,366.5
2024-09-16,2024-11-15,365.0,370.949,364.2,370.6,8483251,Daily Prices,TSCO.LON,367.4
2024-09-13,2024-11-15,369.0,369.0,362.3,364.5,16507109,Daily Prices,TSCO.LON,367.6
2024-09-12,2024-11-15,368.9,370.1,367.0,369.0,11139060,Daily Prices,TSCO.LON,368.3
2024-09-11,2024-11-15,367.4,368.1,365.4,366.7,10905220,Daily Prices,TSCO.LON,368.0
2024-09-10,2024-11-15,369.0,369.5,364.9,367.6,18710859,Daily Prices,TSCO.LON,367.7
2024-09-09,2024-11-15,368.5,369.7,364.2,368.7,14930990,Daily Prices,TSCO.LON,367.3
2024-09-06,2024-11-15,365.0,368.1,364.7,366.6,20813230,Daily Prices,TSCO.LON,367.7
2024-09-05,2024-11-15,360.4,368.0,360.4,366.2,15396640,Daily Prices,TSCO.LON,367.2
2024-09-04,2024-11-15,359.2,364.3,359.2,362.9,24144789,Daily Prices,TSCO.LON,366.4
2024-09-03,2024-11-15,358.3,363.2,356.8,361.7,12325880,Daily Prices,TSCO.LON,365.2
2024-09-02,2024-11-15,354.7,356.9,353.1934,356.1,15097140,Daily Prices,TSCO.LON,362.7
2024-08-30,2024-11-15,353.4,354.6,351.4,353.7,21920381,Daily Prices,TSCO.LON,360.1
2024-08-29,2024-11-15,350.4,353.2,348.9,352.5,11382530,Daily Prices,TSCO.LON,357.4
2024-08-28,2024-11-15,348.0,350.7,345.1,348.3,20739449,Daily Prices,TSCO.LON,354.5
2024-08-27,2024-11-15,348.8,351.9,348.264,351.7,10058000,Daily Prices,TSCO.LON,352.5
2024-08-23,2024-11-15,347.4,349.9,345.9,349.1,16604721,Daily Prices,TSCO.LON,351.1
2024-08-22,2024-11-15,341.2,347.4,340.5,346.6,19689180,Daily Prices,TSCO.LON,349.6
2024-08-21,2024-11-15,339.0,340.8,337.7,339.8,21745160,Daily Prices,TSCO.LON,347.1
2024-08-20,2024-11-15,340.5,341.6,337.9,338.8,10354150,Daily Prices,TSCO.LON,345.2
2024-08-19,2024-11-15,341.4,343.4509,339.988,341.4,6456401,Daily Prices,TSCO.LON,343.1
2024-08-16,2024-11-15,341.5,342.3,339.7,341.2,10492140,Daily Prices,TSCO.LON,341.6
2024-08-15,2024-11-15,341.5,342.0,338.596,341.2,19894090,Daily Prices,TSCO.LON,340.5
2024-08-14,2024-11-15,336.5,340.6,336.4,340.6,20408859,Daily Prices,TSCO.LON,340.6
2024-08-13,2024-11-15,333.8,338.0,333.4,335.0,17358641,Daily Prices,TSCO.LON,339.9
2024-08-12,2024-11-15,331.7,333.9,330.88,333.5,13428750,Daily Prices,TSCO.LON,338.3
2024-08-09,2024-11-15,328.5,331.1,326.2,330.5,16180740,Daily Prices,TSCO.LON,336.2
2024-08-08,2024-11-15,328.6,329.3,325.4,329.0,27818230,Daily Prices,TSCO.LON,333.7
2024-08-07,2024-11-15,321.6,329.3,321.6,329.3,21229320,Daily Prices,TSCO.LON,331.5
2024-08-06,2024-11-15,322.2,322.6,316.7,320.2,35115480,Daily Prices,TSCO.LON,328.5
2024-08-05,2024-11-15,321.2,324.8,318.8,321.1,19328650,Daily Prices,TSCO.LON,326.0
2024-08-02,2024-11-15,327.4,328.9,322.8,326.7,16887949,Daily Prices,TSCO.LON,325.3
2024-08-01,2024-11-15,331.2,335.2,330.0,330.1,16552510,Daily Prices,TSCO.LON,325.5
2024-07-31,2024-11-15,331.9,334.2996,330.5,331.6,16269200,Daily Prices,TSCO.LON,325.9
2024-07-30,2024-11-15,330.0,332.8,328.4,331.7,19476090,Daily Prices,TSCO.LON,328.2
2024-07-29,2024-11-15,330.0,333.7,328.163,330.9,10442500,Daily Prices,TSCO.LON,330.2
2024-07-26,2024-11-15,325.1,328.6,323.349,327.1,15946790,Daily Prices,TSCO.LON,330.3
2024-07-25,2024-11-15,325.6,327.1,323.4,325.6,8202403,Daily Prices,TSCO.LON,329.4
